path,kind,regenerable,size_bytes,produced_by,description
intermediate/mechanisms/eld_floor_sensitivity.csv,intermediate,from_release,562,code/2_mechanisms/2_eld.ipynb,"Same regression at 20, 50 and 100 kWp floors."
intermediate/mechanisms/eld_regression_table.csv,intermediate,from_release,782,code/2_mechanisms/2_eld.ipynb,Within-department regression of registry coverage on distributor type.
intermediate/mechanisms/mechanisms_tagging.csv,intermediate,from_release,2148,code/2_mechanisms/3_tagging.ipynb,"Unit-by-unit attribution: fragmentation, partial, unexplained."
intermediate/mechanisms/share_enedis.csv,intermediate,needs_external_download,1395,not in this release (needs the raw operator extract; kept in the authors' archive),Share of detected capacity in municipalities served by a local distributor. Needs the raw operator parquet extracts and IGN ADMIN EXPRESS; neither is redistributed.
intermediate/mechanisms/temporal_lag_above_departements.csv,intermediate,from_release,535,code/2_mechanisms/1_temporal_lag.ipynb,Same test on the negative control.
intermediate/mechanisms/temporal_lag_departements.csv,intermediate,from_release,1683,code/2_mechanisms/1_temporal_lag.ipynb,Connection-lag test on the under-reported units.
intermediate/mechanisms/temporal_lag_eld_departements.csv,intermediate,from_release,539,code/2_mechanisms/1_temporal_lag.ipynb,Connection lag restricted to local-distributor units.
intermediate/mechanisms/temporal_sensitivity_departements.csv,intermediate,from_release,366,code/2_mechanisms/1_temporal_lag.ipynb,Flag survival across a +/-3 month dating sweep.
intermediate/postprocess/comparison_communes.csv,intermediate,shipped_not_replayable,2285243,code/0_pipeline/postprocess/merge_sources/merge.py,"Municipality-level join, 34,746 rows. Operator registry. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/postprocess/comparison_communes_rni.csv,intermediate,shipped_not_replayable,2349948,code/0_pipeline/postprocess/merge_sources/merge.py,"Municipality-level join, 34,746 rows. Public registry. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/postprocess/comparison_departements.geojson,intermediate,shipped_not_replayable,1909227,code/0_pipeline/postprocess/merge_sources/merge.py,"Corrected estimate against the operator registry, by department. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/postprocess/comparison_departements_rni_bottomup.geojson,intermediate,shipped_not_replayable,1909220,code/0_pipeline/postprocess/merge_sources/merge.py,"Same, against the public registry rebuilt from municipal values. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/postprocess/comparison_departements_rni_total.geojson,intermediate,shipped_not_replayable,1909234,code/0_pipeline/postprocess/merge_sources/merge.py,"Same, against the public registry departmental totals. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/postprocess/imagery_dates.geojson,intermediate,needs_external_download,10057331,code/0_pipeline/postprocess/dates/datation.py,"Imagery acquisition date per municipality. Needs the IGN mosaicking graphs, not redistributed."
intermediate/postprocess/recalibration_departements.geojson,intermediate,from_release,1904351,code/0_pipeline/postprocess/recalibration/recalibrate.py,"Corrected capacity posteriors per reporting unit, with 95 and 99% credible intervals."
